,acct_type,body_length,gts,listed,name_length,num_order,num_payouts,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
0,fraudster_event,3852,0.0,1,60,0,0,33,1,432000,False,1,0,0
1,premium,3499,868.02,0,27,23,1,28,0,432000,False,1,1,0
2,premium,2601,3500.0,1,28,19,4,54,0,432000,False,1,1,0
3,premium,12347,1167.35,1,21,39,16,0,0,432000,False,0,0,1
4,premium,2417,2313.15,1,66,30,0,63,0,432000,False,1,1,0
5,premium,117,302.57,1,44,14,3,65,0,432000,False,1,1,0
6,premium,28,832.64,1,36,12,3,35,0,432000,False,1,0,1
7,premium,974,220.64,1,28,6,5,21,0,432000,False,1,0,1
8,premium,4388,3706.36,1,19,12,0,38,0,432000,False,1,0,1
9,premium,974,535.84,1,28,14,9,28,0,432000,False,1,0,1
10,premium,4397,750.0,1,67,14,25,19,0,432000,False,1,1,0
11,premium,1679,685.44,1,47,13,24,27,0,432000,False,0,0,1
12,premium,7933,178.0,1,60,2,4,75,0,432000,False,1,1,0
13,spammer_warn,7138,833.14,1,88,16,13,62,0,432000,False,1,0,1
14,premium,10057,1038.56,0,22,9,1,51,0,432000,False,1,1,0
15,premium,1615,2723.44,1,56,143,656,61,0,432000,False,1,1,0
16,premium,1595,2146.44,1,60,90,476,33,0,428400,False,1,1,0
17,premium,148,34.62,1,46,2,0,19,0,432000,False,1,1,0
18,premium,3387,1996.0,1,39,8,6,185,0,432000,False,0,0,1
19,premium,6045,14424.18,1,25,181,1,51,0,432000,False,1,0,1
20,premium,3530,3855.28,1,38,54,0,46,0,432000,False,1,0,1
21,premium,452,106.49,1,32,1,10,27,0,428400,False,1,1,0
22,premium,742,268.7,1,22,4,6,19,0,432000,False,1,1,0
23,premium,810,132.0,1,60,12,55,35,0,432000,False,1,1,0
24,premium,1483,1326.48,1,75,54,1,30,0,432000,False,1,1,0
25,premium,3254,107.48,1,67,2,79,46,0,432000,False,1,0,1
26,fraudster,870,634.98,0,48,1,0,0,1,432000,False,1,0,1
27,premium,475,5860.0,1,58,227,5,35,0,432000,False,1,1,0
28,premium,1083,10438.0,1,134,4,26,100,0,432000,False,1,0,1
29,premium,1901,1485.14,1,28,44,3,16,0,432000,False,1,0,1
30,premium,326,16210.0,0,17,402,0,35,0,432000,False,1,1,0
31,premium,6833,120.01,1,60,3,3,150,0,432000,False,0,0,1
32,spammer_warn,6433,725.0,0,47,26,2,20,0,432000,False,1,0,1
33,premium,4847,540.0,1,26,6,0,70,0,432000,False,0,0,1
34,premium,1624,66.27,1,15,2,6,26,0,432000,False,1,0,1
