,acct_type,num_payouts,sale_duration2,fraud_target,is_country_same,ACH
0,fraudster_event,0,33,1,1,0
1,premium,1,28,0,1,0
2,premium,4,54,0,1,0
3,premium,16,0,0,0,1
4,premium,0,63,0,1,0
5,premium,3,65,0,1,0
6,premium,3,35,0,1,1
7,premium,5,21,0,1,1
8,premium,0,38,0,1,1
9,premium,9,28,0,1,1
10,premium,25,19,0,1,0
11,premium,24,27,0,0,1
12,premium,4,75,0,1,0
13,spammer_warn,13,62,0,1,1
14,premium,1,51,0,1,0
15,premium,656,61,0,1,0
16,premium,476,33,0,1,0
17,premium,0,19,0,1,0
18,premium,6,185,0,0,1
19,premium,1,51,0,1,1
20,premium,0,46,0,1,1
21,premium,10,27,0,1,0
22,premium,6,19,0,1,0
23,premium,55,35,0,1,0
24,premium,1,30,0,1,0
25,premium,79,46,0,1,1
26,fraudster,0,0,1,1,1
27,premium,5,35,0,1,0
28,premium,26,100,0,1,1
29,premium,3,16,0,1,1
30,premium,0,35,0,1,0
31,premium,3,150,0,0,1
32,spammer_warn,2,20,0,1,1
33,premium,0,70,0,0,1
34,premium,6,26,0,1,1
35,premium,0,24,0,1,1
36,premium,1,38,0,1,0
37,premium,4,60,0,1,0
38,premium,1,9,0,1,1
39,premium,0,128,0,1,0
40,premium,0,68,0,1,1
41,premium,0,12,0,1,1
42,premium,0,18,0,1,0
43,premium,1,0,0,1,0
44,premium,2,36,0,1,1
45,premium,1,61,0,1,1
46,premium,39,97,0,1,1
47,premium,0,24,0,1,1
48,premium,1,49,0,0,0
49,premium,0,66,0,1,0
50,premium,0,81,0,1,1
51,fraudster_event,1,132,1,1,0
52,premium,0,70,0,1,1
53,premium,4,53,0,1,1
54,fraudster,0,6,1,1,1
55,premium,21,219,0,1,1
56,premium,1034,56,0,0,0
57,premium,15,47,0,1,1
58,premium,0,71,0,1,1
59,premium,1,17,0,1,1
60,premium,17,28,0,1,1
61,premium,2,13,0,1,1
62,premium,0,63,0,1,0
63,premium,0,8,0,1,1
64,premium,2,8,0,1,1
65,spammer_limited,27,32,0,0,1
66,premium,0,34,0,1,1
67,premium,0,42,0,1,1
68,premium,0,10,0,1,1
69,premium,0,25,0,1,1
70,fraudster,0,65,1,1,1
71,premium,2,36,0,1,0
72,premium,6,74,0,1,0
73,premium,0,100,0,1,1
74,premium,26,16,0,1,1
75,premium,28,22,0,1,1
76,premium,1,45,0,1,0
77,premium,0,20,0,1,1
78,spammer_warn,23,47,0,1,1
79,premium,0,21,0,1,1
80,premium,0,14,0,1,1
81,premium,2,0,0,0,0
82,premium,18,15,0,1,1
83,premium,13,281,0,1,1
84,premium,0,0,0,0,1
85,premium,0,29,0,1,1
86,premium,0,32,0,1,1
87,premium,658,48,0,1,1
88,premium,4,44,0,1,0
89,premium,85,114,0,1,1
90,premium,14,158,0,0,1
91,premium,0,58,0,0,1
92,premium,56,1,0,0,1
93,premium,0,140,0,1,0
94,spammer_noinvite,1,43,0,1,1
95,premium,58,55,0,1,0
96,premium,10,9,0,1,0
97,premium,1,22,0,1,0
98,premium,6,3,0,1,1
99,premium,1,46,0,1,1
100,premium,19,22,0,1,0
101,premium,0,113,0,1,1
102,premium,14,28,0,1,0
103,premium,16,41,0,0,1
104,premium,36,10,0,1,1
105,premium,3,49,0,1,1
106,premium,0,38,0,1,0
107,locked,0,25,0,1,0
108,premium,2,30,0,1,0
109,premium,8,35,0,1,1
110,premium,71,270,0,1,1
111,premium,3,57,0,1,1
112,premium,19,15,0,1,1
113,premium,3,26,0,1,1
114,premium,0,147,0,1,1
115,premium,0,13,0,1,1
116,premium,1,16,0,1,0
117,premium,0,30,0,1,1
118,premium,0,99,0,0,1
119,premium,3,39,0,1,1
120,premium,22,15,0,0,1
121,spammer_warn,1,15,0,1,1
122,premium,93,55,0,1,1
123,premium,0,25,0,1,1
124,premium,8,143,0,1,1
125,premium,2,44,0,1,1
126,premium,7,27,0,1,1
127,premium,0,87,0,1,1
128,fraudster,0,9,1,1,1
129,premium,19,21,0,1,0
130,fraudster,11,0,1,0,1
131,fraudster,0,4,1,1,1
132,premium,6,41,0,1,1
133,premium,32,0,0,1,1
134,premium,1153,65,0,1,1
135,premium,84,79,0,1,0
136,premium,0,10,0,1,0
137,premium,1,70,0,1,1
138,premium,33,64,0,1,1
139,premium,0,29,0,1,1
140,fraudster,21,1,1,0,1
141,premium,2,116,0,1,1
142,premium,2,42,0,0,0
143,spammer_warn,0,83,0,1,0
144,fraudster,0,5,1,1,1
145,premium,26,189,0,1,1
146,premium,4,16,0,1,1
147,premium,2,28,0,1,1
148,premium,7,56,0,0,1
149,fraudster_event,0,0,1,1,1
150,premium,1,22,0,1,1
151,premium,0,18,0,1,0
152,premium,165,-37,0,1,1
153,premium,0,22,0,1,1
154,premium,62,0,0,0,1
155,premium,30,19,0,0,1
156,premium,3,19,0,0,1
157,premium,11,21,0,1,0
158,premium,0,153,0,1,1
159,premium,24,190,0,0,1
160,premium,26,212,0,0,1
161,fraudster,0,11,1,0,1
162,premium,1,40,0,0,1
163,premium,2,145,0,0,1
164,premium,0,38,0,1,1
165,premium,3,178,0,1,0
166,premium,2,115,0,1,1
167,premium,21,54,0,1,0
168,premium,0,4,0,1,1
169,premium,161,39,0,1,1
170,premium,3,23,0,1,1
171,premium,0,12,0,1,1
172,premium,73,186,0,1,1
173,premium,0,19,0,1,0
174,premium,1,157,0,1,0
175,premium,40,78,0,1,1
176,premium,3,0,0,1,1
177,fraudster,0,1,1,1,1
178,premium,1,15,0,1,1
179,premium,10,72,0,1,1
180,premium,0,98,0,1,1
181,fraudster,0,5,1,1,1
182,premium,1,5,0,1,0
183,fraudster,0,1,1,1,0
184,premium,0,25,0,1,1
185,premium,0,41,0,1,1
186,premium,19,155,0,1,1
187,fraudster_event,0,153,1,0,0
188,premium,0,21,0,1,0
189,premium,74,80,0,1,1
190,premium,4,67,0,1,1
191,premium,1,128,0,1,1
192,premium,0,114,0,1,1
193,premium,43,3,0,0,0
194,premium,0,21,0,0,1
195,premium,1,7,0,1,1
196,premium,5,116,0,1,1
197,premium,3,9,0,1,1
198,premium,0,19,0,1,1
199,premium,8,78,0,1,0
200,premium,11,48,0,1,1
201,premium,0,89,0,1,1
202,fraudster_event,0,1,1,1,1
203,premium,0,46,0,1,1
204,premium,1,26,0,1,1
205,premium,0,36,0,1,0
206,fraudster_event,0,0,1,0,1
207,premium,42,15,0,1,1
208,premium,9,55,0,1,1
209,premium,0,84,0,1,0
210,premium,5,27,0,1,0
211,premium,13,24,0,1,0
212,fraudster_event,0,87,1,1,0
213,premium,0,59,0,1,0
214,premium,0,64,0,1,0
215,premium,2,17,0,1,0
216,spammer_warn,4,152,0,1,0
217,premium,1,40,0,1,0
218,premium,15,63,0,0,1
219,fraudster_event,0,20,1,1,0
220,premium,14,24,0,1,1
221,premium,21,9,0,1,1
222,premium,0,39,0,1,1
223,premium,0,39,0,1,1
224,premium,95,85,0,1,1
225,premium,93,28,0,1,0
226,premium,18,16,0,1,0
227,premium,104,58,0,1,0
228,premium,0,29,0,1,1
229,premium,1,14,0,1,1
230,premium,15,30,0,1,0
231,premium,0,11,0,1,0
232,premium,0,80,0,1,1
233,premium,3,29,0,1,0
234,premium,0,30,0,1,1
235,premium,1,68,0,1,1
236,premium,1069,12,0,1,1
237,spammer_warn,20,59,0,1,1
238,premium,0,35,0,1,1
239,premium,8,9,0,1,1
240,premium,0,94,0,1,0
241,premium,72,122,0,1,1
242,premium,0,8,0,0,1
243,premium,0,38,0,1,1
244,premium,7,151,0,0,1
245,premium,11,13,0,1,1
246,premium,5,19,0,1,1
247,premium,14,18,0,1,1
248,fraudster_event,0,40,1,1,1
249,premium,0,45,0,1,0
250,fraudster_event,0,8,1,1,1
251,premium,1,178,0,1,1
252,premium,5,27,0,1,1
253,premium,603,25,0,1,1
254,premium,2,37,0,1,0
255,premium,1,18,0,1,1
256,premium,331,270,0,1,1
257,premium,22,2,0,0,1
258,premium,5,41,0,1,1
259,fraudster_event,0,40,1,0,0
260,premium,0,30,0,1,1
261,premium,1,84,0,1,1
262,fraudster_event,0,-1094,1,0,1
263,fraudster_event,0,4,1,1,1
264,premium,1,60,0,1,1
265,premium,0,30,0,1,0
266,premium,8,122,0,1,1
267,premium,3,65,0,1,1
268,premium,2,61,0,1,1
269,premium,0,20,0,1,0
270,premium,28,64,0,1,1
271,premium,2,16,0,1,1
272,fraudster_event,0,18,1,1,1
273,premium,0,34,0,0,0
274,premium,0,81,0,1,1
275,fraudster_event,0,0,1,0,1
276,premium,5,104,0,1,1
277,premium,8,40,0,0,1
278,premium,0,278,0,1,1
279,premium,5,161,0,0,1
280,premium,818,43,0,1,1
281,premium,59,247,0,1,0
282,spammer_limited,71,55,0,1,0
283,premium,331,25,0,1,1
284,premium,0,70,0,1,1
285,premium,8,41,0,1,1
286,premium,1,11,0,0,1
287,premium,3,63,0,1,1
288,tos_lock,1,19,0,0,1
289,fraudster_event,0,40,1,0,0
290,premium,20,30,0,0,1
291,premium,13,0,0,0,0
292,premium,10,54,0,1,1
293,spammer_noinvite,13,13,0,1,1
294,premium,54,37,0,1,1
295,premium,7,15,0,1,1
296,fraudster_event,0,10,1,1,0
297,premium,38,52,0,0,1
298,premium,0,15,0,1,1
299,premium,3,3,0,0,1
300,premium,1,105,0,1,1
301,premium,0,27,0,0,1
302,premium,5,4,0,0,1
303,premium,29,254,0,1,1
304,premium,0,94,0,0,0
305,premium,0,80,0,0,1
306,premium,135,92,0,1,1
307,fraudster_event,0,6,1,0,0
308,premium,0,64,0,0,1
309,premium,0,124,0,1,1
310,premium,71,86,0,1,1
311,premium,5,34,0,1,1
312,premium,79,135,0,1,1
313,premium,8,75,0,1,1
314,premium,3,71,0,1,1
315,premium,0,31,0,1,0
316,premium,0,44,0,1,1
317,premium,0,1,0,1,1
318,fraudster_event,0,13,1,1,1
319,premium,0,125,0,1,1
320,premium,1,126,0,1,1
321,premium,0,38,0,1,1
322,premium,4,37,0,1,1
323,fraudster_event,0,2,1,1,1
324,premium,0,20,0,1,1
325,premium,11,51,0,1,1
326,premium,27,27,0,1,1
327,premium,5,45,0,1,1
328,premium,134,72,0,1,1
329,premium,20,87,0,1,1
330,fraudster_event,0,40,1,1,0
331,premium,3,16,0,1,0
