,body_length,description,gts,listed,name_length,num_order,num_payouts,org_desc,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
0,3852,0.3736445605854852,0.0,1,60,0,0,0.10368451742511677,33,1,432000,3125756,1,0,0
1,3499,0.025082881885582404,868.02,0,27,23,1,0.04402924186091594,28,0,432000,12889894,1,1,0
2,2601,0.05748600933548039,3500.0,1,28,19,4,0.07744226046288304,54,0,432000,18531568,1,1,0
3,12347,0.03199584519992387,1167.35,1,21,39,16,0.10368451742511677,0,0,432000,76811468,0,0,1
4,2417,0.05553345720393807,2313.15,1,66,30,0,0.013133731789880232,63,0,432000,3010601,1,1,0
5,117,0.12225027375540719,302.57,1,44,14,3,0.058063503652028114,65,0,432000,25842700,1,1,0
6,28,0.12817596232927234,832.64,1,36,12,3,0.050470276263734876,35,0,432000,60987067,1,0,1
7,974,0.08085280831829277,220.64,1,28,6,5,0.07645180074810365,21,0,432000,6151734,1,0,1
8,4388,0.04232173663563383,3706.36,1,19,12,0,0.10053406573106269,38,0,432000,1,1,0,1
9,974,0.08085280831829277,535.84,1,28,14,9,0.07645180074810365,28,0,432000,6152183,1,0,1
10,4397,0.054068574395150865,750.0,1,67,14,25,0.016834552112313984,19,0,432000,62992357,1,1,0
11,1679,0.08120144778945045,685.44,1,47,13,24,0.10368451742511677,27,0,432000,37116588,0,0,1
12,7933,0.028125005352406873,178.0,1,60,2,4,0.03528184668494604,75,0,432000,70328456,1,1,0
13,7138,0.016688420527910832,833.14,1,88,16,13,0.022307038485596637,62,0,432000,40211569,1,0,1
14,10057,0.029163597313800655,1038.56,0,22,9,1,0.04851874531416091,51,0,432000,17023604,1,1,0
15,1615,0.06872799020876386,2723.44,1,56,143,656,0.10368451742511677,61,0,432000,32065318,1,1,0
16,1595,0.06872799020876386,2146.44,1,60,90,476,0.10368451742511677,33,0,428400,32065445,1,1,0
17,148,0.12817596232927234,34.62,1,46,2,0,0.06957544496063202,19,0,432000,223924,1,1,0
18,3387,0.052664800380042204,1996.0,1,39,8,6,0.10368451742511677,185,0,432000,61302814,0,0,1
19,6045,0.04014540653865736,14424.18,1,25,181,1,0.015594400639469092,51,0,432000,10788105,1,0,1
20,3530,0.10349929985994841,3855.28,1,38,54,0,0.09799828655967925,46,0,432000,179068,1,0,1
21,452,0.12272877219907985,106.49,1,32,1,10,0.10368451742511677,27,0,428400,33041254,1,1,0
22,742,0.08858165318587162,268.7,1,22,4,6,0.0668672370417115,19,0,432000,38719926,1,1,0
23,810,0.12817596232927234,132.0,1,60,12,55,0.10053406573106269,35,0,432000,39219107,1,1,0
24,1483,0.03499038188780282,1326.48,1,75,54,1,0.09551203396194846,30,0,432000,9420699,1,1,0
25,3254,0.02832548062309437,107.48,1,67,2,79,0.07259570760152755,46,0,432000,46281430,1,0,1
26,870,0.8217962046030017,634.98,0,48,1,0,0.10053406573106269,0,1,432000,3594639,1,0,1
27,475,0.1683912543676158,5860.0,1,58,227,5,0.07229988981117898,35,0,432000,22375175,1,1,0
28,1083,0.08324020953287126,10438.0,1,134,4,26,0.10368451742511677,100,0,432000,21152421,1,0,1
29,1901,0.031480578884082504,1485.14,1,28,44,3,0.06200356602867139,16,0,432000,74538702,1,0,1
30,326,0.1683912543676158,16210.0,0,17,402,0,0.10368451742511677,35,0,432000,52569553,1,1,0
31,6833,0.03752156542176817,120.01,1,60,3,3,0.02457874916616447,150,0,432000,18936998,0,0,1
32,6433,0.014567312103133707,725.0,0,47,26,2,0.10368451742511677,20,0,432000,17704291,1,0,1
33,4847,0.038246303408616365,540.0,1,26,6,0,0.10368451742511677,70,0,432000,7845240,0,0,1
34,1624,0.04138104022389815,66.27,1,15,2,6,0.008464418852038996,26,0,432000,13916645,1,0,1
35,2102,0.05037875168499558,8005.66,1,55,48,0,0.08612676861318469,24,0,432000,996,1,0,1
36,1925,0.044119879483996476,515.96,1,28,10,1,0.09454215057172295,38,0,432000,21319935,1,1,0
37,7694,0.04256330433594604,1336.03,1,28,16,4,0.05630553815066063,60,0,432000,53563944,1,1,0
38,3514,0.0541227511719272,1899.53,1,47,78,1,0.05420175028247468,9,0,432000,3337530,1,0,1
39,1751,0.016095049583942117,4859.48,1,79,23,0,0.10368451742511677,128,0,432000,80457439,1,1,0
40,3164,0.06594910386180787,2.04,1,28,1,0,0.10053406573106269,68,0,432000,4,1,0,1
41,445,0.08974767933913366,145.38,1,44,2,0,0.054200371507254305,12,0,432000,33231427,1,0,1
42,1837,0.08321942219890532,77.76,1,48,20,0,0.23068446110342203,18,0,432000,7654589,1,1,0
43,9466,0.02752102323124484,48.46,1,82,1,1,0.008532985438463142,0,0,432000,5364266,1,1,0
44,924,0.02498495286806219,52.62,1,41,2,2,0.025490936202220787,36,0,432000,11424404,1,0,1
45,4179,0.014965052978178281,1203.31,1,49,30,1,0.09403062072876996,61,0,432000,27463954,1,0,1
46,1646,0.013182722691218255,6.26,1,15,1,39,0.10368451742511677,97,0,432000,10365259,1,0,1
47,7972,0.07260095974990957,1133.57,1,254,15,0,0.10368451742511677,24,0,432000,1163275,1,0,1
48,617,0.10063599270461829,1170.0,1,26,26,1,0.10368451742511677,49,0,432000,73267396,0,1,0
49,1486,0.079890929208136,103.86,1,22,6,0,0.10368451742511677,66,0,432000,22331683,1,1,0
50,1916,0.018713535526427794,1530.0,1,36,25,0,0.019741811671111827,81,0,432000,62002260,1,0,1
51,536,0.3503558980308134,321.28,1,32,7,1,0.10368451742511677,132,1,432000,6586702,1,1,0
52,5325,0.011641527527141295,10364.13,1,23,82,0,0.10368451742511677,70,0,432000,0,1,0,1
53,1167,0.10875922105322856,267.69,1,78,16,4,0.04402924186091594,53,0,432000,33073584,1,0,1
54,3081,0.2549812681423317,16276.45,1,32,9,0,0.5421306367673777,6,1,432000,1,1,0,1
55,1239,0.04859137281087951,1439.82,1,21,7,21,0.07354522658462284,219,0,428400,7752259,1,0,1
56,1615,0.06872799020876386,969.36,1,57,48,1034,0.10368451742511677,56,0,432000,47759661,0,1,0
57,6463,0.11591637217701245,442.67,1,9,15,15,0.08249883257263999,47,0,432000,26990652,1,0,1
58,3648,0.026994837521551563,88.36,1,17,4,0,0.015418247922165644,71,0,432000,1,1,0,1
59,191,0.12817596232927234,329.39,1,45,16,1,0.10053406573106269,17,0,432000,1,1,0,1
60,5259,0.05579985657475653,349.79,1,9,16,17,0.08249883257263999,28,0,432000,32850313,1,0,1
61,4765,0.01883769686445896,7991.66,1,139,392,2,0.10368451742511677,13,0,432000,46286016,1,0,1
62,2075,0.04278413203740227,18395.0,1,14,113,0,0.10368451742511677,63,0,432000,5448499,1,1,0
63,3914,0.02542623970948835,32.11,1,24,2,0,0.03654176348422333,8,0,432000,14287078,1,0,1
64,0,0.12817596232927234,1289.28,1,7,17,2,0.04668790233466737,8,0,432000,4058907,1,0,1
65,1545,0.04685412843840652,580.0,1,74,28,27,0.04573499113564277,32,0,432000,83681546,0,0,1
66,4873,0.03310757826403239,65.28,1,46,1,0,0.04259782240574333,34,0,432000,39749450,1,0,1
